,Cases,Deaths,Poverty,Population,W_Male,W_Female,B_Male,B_Female,H_Male,H_Female,I_Male,I_Female,A_Male,A_Female,NH_Male,NH_Female,Risk_Index,Risk_Cat
415,10.918736348043122,7.4205789054108,11.671935746354835,11.762368142618339,11.31608298807539,11.370312963609512,10.40783222020243,10.622399940982099,9.985159701180153,9.957928388214377,6.7226297948554485,6.648984550024776,8.599510233905452,8.75605259917045,5.5294290875114225,5.420534999272285,4.89,Very low
416,8.500250470685923,5.416100402204419,7.945201132412759,7.949444420250626,6.903747257584598,7.059617628291383,7.3864708488298945,7.508787170634277,4.23410650459726,4.276666119016055,2.7080502011022096,2.772588722239781,3.1354942159291497,2.4849066497880004,0.6931471805599453,0.6931471805599453,93.16,High
417,12.150596932801347,8.749890955535259,12.555845323542464,12.585385409491405,10.981676021007694,10.97181244026578,12.189262137377536,12.36399904548941,11.026597312804627,10.962856461127396,7.870547844507714,7.984462732262196,9.601300793881466,9.67890546702757,6.210600077024652,6.424869023905388,44.23,Below Average
418,8.962776046120291,5.303304908059076,8.788898309344878,8.797548488481556,8.409162447202533,8.472195825485501,7.489412083508719,7.577633832602728,6.395261598115449,6.322565239927285,4.418840607796597,4.23410650459726,3.2958368660043287,3.4011973816621555,2.3978952727983707,1.6094379124341005,99.35,Very high
420,10.807199502203424,7.2834482287566304,10.591571938753614,10.675284162916334,10.31433813292063,10.290822633771823,9.509259076353949,9.383284766957539,9.062536177207788,8.877381954654766,5.902633333401367,5.602118820879701,6.0112671744041615,6.07993319509559,3.688879454113936,3.6635616461296463,41.82,Below Average
421,11.194137928144768,7.390181428226429,10.707281253183137,10.727662995502477,10.408858325619157,10.424600084170256,9.270682600982344,9.338117741918008,9.607168286688683,9.398229733073599,6.606650186198214,6.343880434126331,6.068425588244112,6.135564891081739,4.61512051684126,4.499809670330264,74.54,Above Average
422,10.870015020836997,6.781057625936179,11.939473426287188,11.962177767046336,11.65401695788384,11.680285656624024,10.28922603046026,10.37480282120666,9.757189294918831,9.728002573001161,7.07834157955767,7.105786129481271,8.854236693405742,9.073374516903023,6.107022887742255,5.916202062607435,30.06,Below Average
423,9.403437001938096,5.2832037287379885,9.739732565316013,9.756726171140725,9.377886643187985,9.4240798432151,8.404919948933452,8.579416534596369,7.358193752733032,7.362645270417825,4.812184355372417,4.605170185988092,4.990432586778736,4.969813299576002,2.772588722239781,2.7080502011022096,54.87,Above Average
424,10.9961823674402,7.047517221357295,11.883488521069125,11.908400841449025,11.639126304624849,11.672319517120476,10.183124852404804,10.304007118251278,9.722265391185475,9.69793830962287,6.987490247000991,6.98100574072173,8.160232492367689,8.30622521603216,5.429345628954442,5.4510384535657,22.52,Below Average
425,8.277411998949004,0.0,9.407878894574996,9.42577428022034,9.165552189186048,9.145161645951188,7.8387375595992825,7.907651594711089,6.587550014824796,6.4216222678065185,4.90527477843843,4.7535901911063645,5.673323267171493,4.158883083359672,2.302585092994046,2.302585092994046,94.34,High
426,10.18539045772387,6.842683282238423,10.005141206262627,10.01556545594148,9.342946336524204,9.408945298843241,9.13873695311649,9.297160063928743,7.249215057114389,7.0604763659998016,4.804021044733257,4.691347882229144,5.849324779946859,5.680172609017067,3.218875824868201,2.9957322735539913,88.37,High
427,8.52158353971753,4.787491742782046,9.627470511614849,9.687567846311238,9.631285050932734,9.662116382947598,5.645446897643237,5.579729825986222,6.470799503782603,6.175867270105761,4.919980925828125,5.236441962829949,5.14166355650266,5.3981627015177525,2.7080502011022096,2.4849066497880004,88.62,High
428,9.510000421187373,5.393627546352363,10.121256687512883,10.169997059755108,10.122864017281094,10.147883659883787,6.077642243349033,5.783825182329737,7.57455848420248,7.7075121946003415,5.2626901889048865,5.40717177146012,5.455321115357702,5.783825182329737,2.7080502011022096,3.218875824868201,41.29,Below Average
429,10.077776937632818,6.343880434126331,10.146590581589944,10.181270792808661,9.559587800086119,9.601706555704846,9.296976678635732,9.381095292398673,7.903965634032166,7.850103545175582,5.641907070938113,5.666426688112433,5.278114659230517,5.342334251964812,3.912023005428147,3.8501476017100575,46.71,Below Average
431,9.033245134153807,5.159055299214528,9.842143922295076,9.933289043772918,9.56843430866833,9.512073267650623,8.83695515733143,8.682877107057168,7.249925536717987,6.731018100482082,4.976733742420574,4.875197323201151,4.718498871295094,4.867534450455582,3.737669618283368,3.7135720667043084,71.23,Above Average
432,9.870085875902095,7.124478262493424,9.37092743662413,9.50226343868522,8.874168090363966,8.656085190282855,8.890685920281129,8.740336742730447,7.416378479192928,7.0630481633881725,4.127134385045092,4.110873864173311,4.852030263919617,4.564348191467836,2.8903717578961645,2.6390573296152584,85.9,High
433,12.272010187581452,9.68694715235549,11.350465357271831,11.38459196841866,10.016726948142637,10.11431557812769,10.94822426823492,11.13901716176628,8.363109176033522,8.268731832117737,6.035481432524756,6.0867747269123065,6.859614903654202,6.86484777797086,5.5012582105447265,5.332718793265369,75.04,Above Average
434,11.410072912852176,7.973155433444133,11.875712690796664,11.893708460432894,11.10600930459475,11.14935537548599,11.130610316760764,11.288756387984279,10.038062150832348,10.027738514873985,7.148345743900068,7.134093721192866,7.853604813097838,8.013012110368916,5.762051382780178,5.8607862234658645,28.73,Below Average
435,10.261266886411732,8.007700012884026,9.21920100040838,9.229162126216774,8.436416881388949,8.485702524324866,8.465478755729558,8.673855001429615,5.937536205082426,5.777652323222656,4.204692619390967,4.31748811353631,4.31748811353631,4.543294782270004,1.3862943611198906,2.4849066497880004,97.09,High
436,9.419141561574515,0.6931471805599453,8.288534459413919,8.295548516225763,8.214465160759186,8.135346948906706,5.5373342670185375,5.598421958998375,7.622663951323595,7.343426229147368,5.0238805208462765,4.941642422609304,3.4657359027997265,3.6375861597263857,2.9444389791664403,0.6931471805599453,15.53,Low
437,9.709599359370706,4.770684624465665,11.024383049444694,11.071252699892554,10.877311072607851,10.888296376540685,9.148039345778805,9.186252576447092,8.492490578775866,8.445697189711169,6.315358001522335,6.1675164908883415,6.734591659972947,6.815639990074331,4.553876891600541,4.7535901911063645,45.38,Below Average
438,9.299998243906717,2.3978952727983707,9.841186526338747,9.862353009177573,9.451716691551454,9.52405562147478,8.545974992841689,8.722417141427497,7.502186486602924,7.415776975415393,4.9836066217083355,4.68213122712422,5.384495062789089,5.25227342804663,2.8903717578961645,2.302585092994046,72.69,Above Average
